100 4950
0 1 0.178982
0 2 0.169130
0 3 0.174056
0 4 0.387521
0 5 0.589491
0 6 0.622332
0 7 0.206897
0 8 0.566502
0 9 0.423645
0 10 0.282430
0 11 0.522167
0 12 0.607553
0 13 0.431856
0 14 0.661741
0 15 0.155993
0 16 0.799672
0 17 0.627258
0 18 0.114943
0 19 0.830870
0 20 0.252874
0 21 0.082102
0 22 0.594417
0 23 0.320197
0 24 0.113300
0 25 0.592775
0 26 0.502463
0 27 0.121511
0 28 0.356322
0 29 0.252874
0 30 0.142857
0 31 0.499179
0 32 0.628900
0 33 0.264368
0 34 0.123153
0 35 0.425287
0 36 0.745484
0 37 0.116585
0 38 0.090312
0 39 0.600985
0 40 0.502463
0 41 0.382594
0 42 0.518883
0 43 0.385878
0 44 0.211823
0 45 0.540230
0 46 0.339901
0 47 0.656814
0 48 0.555008
0 49 0.740558
0 50 0.538588
0 51 0.083744
0 52 0.487685
0 53 0.469622
0 54 0.203612
0 55 0.435140
0 56 0.220033
0 57 0.182266
0 58 0.323481
0 59 0.448276
0 60 0.274220
0 61 0.727422
0 62 0.505747
0 63 0.380952
0 64 0.292282
0 65 0.520525
0 66 0.193760
0 67 0.504105
0 68 0.356322
0 69 0.507389
0 70 0.582923
0 71 0.264368
0 72 0.866995
0 73 0.187192
0 74 0.400657
0 75 0.394089
0 76 0.302135
0 77 0.492611
0 78 0.121511
0 79 0.546798
0 80 0.167488
0 81 0.323481
0 82 0.090312
0 83 0.706076
0 84 0.605911
0 85 0.426929
0 86 0.177340
0 87 0.287356
0 88 0.257800
0 89 0.090312
0 90 0.555008
0 91 0.272578
0 92 0.180624
0 93 0.459770
0 94 0.042693
0 95 0.630542
0 96 0.285714
0 97 0.126437
0 98 0.730706
0 99 0.589491
1 2 0.133005
1 3 0.218391
1 4 0.210181
1 5 0.651888
1 6 0.600985
1 7 0.027915
1 8 0.389163
1 9 0.339901
1 10 0.133005
1 11 0.344828
1 12 0.632184
1 13 0.499179
1 14 0.574713
1 15 0.310345
1 16 0.719212
1 17 0.530378
1 18 0.201970
1 19 0.752053
1 20 0.103448
1 21 0.236453
1 22 0.620690
1 23 0.197044
1 24 0.095238
1 25 0.676519
1 26 0.323481
1 27 0.300493
1 28 0.425287
1 29 0.420361
1 30 0.047619
1 31 0.348112
1 32 0.679803
1 33 0.325123
1 34 0.111658
1 35 0.252874
1 36 0.686371
1 37 0.098522
1 38 0.270936
1 39 0.469622
1 40 0.357964
1 41 0.389163
1 42 0.543514
1 43 0.479475
1 44 0.045977
1 45 0.635468
1 46 0.182266
1 47 0.663383
1 48 0.545156
1 49 0.686371
1 50 0.566502
1 51 0.264368
1 52 0.602627
1 53 0.295567
1 54 0.141215
1 55 0.331691
1 56 0.224959
1 57 0.044335
1 58 0.397373
1 59 0.556650
1 60 0.405583
1 61 0.633826
1 62 0.377668
1 63 0.515599
1 64 0.113300
1 65 0.357964
1 66 0.374384
1 67 0.323481
1 68 0.382594
1 69 0.486043
1 70 0.413793
1 71 0.159278
1 72 0.789819
1 73 0.077176
1 74 0.346470
1 75 0.448276
1 76 0.315271
1 77 0.380952
1 78 0.126437
1 79 0.635468
1 80 0.205255
1 81 0.307061
1 82 0.149425
1 83 0.694581
1 84 0.469622
1 85 0.251232
1 86 0.357964
1 87 0.136289
1 88 0.114943
1 89 0.137931
1 90 0.648604
1 91 0.403941
1 92 0.013136
1 93 0.579639
1 94 0.136289
1 95 0.500821
1 96 0.211823
1 97 0.070608
1 98 0.697865
1 99 0.679803
2 3 0.298851
2 4 0.274220
2 5 0.517241
2 6 0.482759
2 7 0.155993
2 8 0.440066
2 9 0.256158
2 10 0.144499
2 11 0.400657
2 12 0.500821
2 13 0.364532
2 14 0.494253
2 15 0.228243
2 16 0.635468
2 17 0.459770
2 18 0.256158
2 19 0.666667
2 20 0.121511
2 21 0.251232
2 22 0.489327
2 23 0.155993
2 24 0.067323
2 25 0.543514
2 26 0.407225
2 27 0.274220
2 28 0.292282
2 29 0.344828
2 30 0.147783
2 31 0.343186
2 32 0.545156
2 33 0.193760
2 34 0.047619
2 35 0.293924
2 36 0.587849
2 37 0.062397
2 38 0.234811
2 39 0.433498
2 40 0.339901
2 41 0.257800
2 42 0.412151
2 43 0.351396
2 44 0.121511
2 45 0.505747
2 46 0.198686
2 47 0.536946
2 48 0.422003
2 49 0.584565
2 50 0.435140
2 51 0.241379
2 52 0.477833
2 53 0.339901
2 54 0.259442
2 55 0.264368
2 56 0.090312
2 57 0.174056
2 58 0.266010
2 59 0.431856
2 60 0.297209
2 61 0.558292
2 62 0.338259
2 63 0.403941
2 64 0.203612
2 65 0.371100
2 66 0.334975
2 67 0.400657
2 68 0.249589
2 69 0.366174
2 70 0.438424
2 71 0.100164
2 72 0.702791
2 73 0.065681
2 74 0.241379
2 75 0.313629
2 76 0.183908
2 77 0.321839
2 78 0.208539
2 79 0.504105
2 80 0.287356
2 81 0.180624
2 82 0.082102
2 83 0.573071
2 84 0.440066
2 85 0.305419
2 86 0.320197
2 87 0.267652
2 88 0.118227
2 89 0.197044
2 90 0.518883
2 91 0.293924
2 92 0.121511
2 93 0.459770
2 94 0.144499
2 95 0.461412
2 96 0.116585
2 97 0.157635
2 98 0.586207
2 99 0.548440
3 4 0.405583
3 5 0.763547
3 6 0.779967
3 7 0.228243
3 8 0.577997
3 9 0.546798
3 10 0.351396
3 11 0.533662
3 12 0.776683
3 13 0.605911
3 14 0.784893
3 15 0.318555
3 16 0.929392
3 17 0.743842
3 18 0.059113
3 19 0.960591
3 20 0.323481
3 21 0.131363
3 22 0.765189
3 23 0.413793
3 24 0.231527
3 25 0.765189
3 26 0.484401
3 27 0.226601
3 28 0.528736
3 29 0.389163
3 30 0.172414
3 31 0.564860
3 32 0.802956
3 33 0.436782
3 34 0.251232
3 35 0.458128
3 36 0.886700
3 37 0.236453
3 38 0.223317
3 39 0.688013
3 40 0.576355
3 41 0.545156
3 42 0.688013
3 43 0.559934
3 44 0.264368
3 45 0.712644
3 46 0.399015
3 47 0.824302
3 48 0.715928
3 49 0.883415
3 50 0.707718
3 51 0.201970
3 52 0.655172
3 53 0.495895
3 54 0.113300
3 55 0.545156
3 56 0.374384
3 57 0.183908
3 58 0.497537
3 59 0.619048
3 60 0.440066
3 61 0.847291
3 62 0.596059
3 63 0.541872
3 64 0.308703
3 65 0.568144
3 66 0.290640
3 67 0.494253
3 68 0.523810
3 69 0.663383
3 70 0.619048
3 71 0.367816
3 72 0.998358
3 73 0.277504
3 74 0.540230
3 75 0.568144
3 76 0.464696
3 77 0.597701
3 78 0.093596
3 79 0.719212
3 80 0.013136
3 81 0.476190
3 82 0.243021
3 83 0.866995
3 84 0.688013
3 85 0.448276
3 86 0.277504
3 87 0.234811
3 88 0.333333
3 89 0.101806
3 90 0.727422
3 91 0.440066
3 92 0.228243
3 93 0.625616
3 94 0.164204
3 95 0.719212
3 96 0.408867
3 97 0.152709
3 98 0.883415
3 99 0.761905
4 5 0.733990
4 6 0.597701
4 7 0.187192
4 8 0.178982
4 9 0.305419
4 10 0.133005
4 11 0.134647
4 12 0.678161
4 13 0.600985
4 14 0.487685
4 15 0.499179
4 16 0.630542
4 17 0.436782
4 18 0.403941
4 19 0.661741
4 20 0.152709
4 21 0.446634
4 22 0.668309
4 23 0.177340
4 24 0.284072
4 25 0.779967
4 26 0.134647
4 27 0.509031
4 28 0.540230
4 29 0.614122
4 30 0.256158
4 31 0.187192
4 32 0.748768
4 33 0.451560
4 34 0.288998
4 35 0.059113
4 36 0.625616
4 37 0.284072
4 38 0.476190
4 39 0.330049
4 40 0.210181
4 41 0.449918
4 42 0.597701
4 43 0.607553
4 44 0.175698
4 45 0.752053
4 46 0.096880
4 47 0.686371
4 48 0.563218
4 49 0.632184
4 50 0.623974
4 51 0.472906
4 52 0.740558
4 53 0.090312
4 54 0.298851
4 55 0.270936
4 56 0.339901
4 57 0.226601
4 58 0.518883
4 59 0.692939
4 60 0.571429
4 61 0.535304
4 62 0.259442
4 63 0.678161
4 64 0.098522
4 65 0.170772
4 66 0.581281
4 67 0.124795
4 68 0.467980
4 69 0.500821
4 70 0.213465
4 71 0.201970
4 72 0.701149
4 73 0.216749
4 74 0.351396
4 75 0.545156
4 76 0.403941
4 77 0.292282
4 78 0.326765
4 79 0.748768
4 80 0.392447
4 81 0.367816
4 82 0.334975
4 83 0.694581
4 84 0.318555
4 85 0.041051
4 86 0.564860
4 87 0.192118
4 88 0.157635
4 89 0.344828
4 90 0.763547
4 91 0.568144
4 92 0.206897
4 93 0.725780
4 94 0.344828
4 95 0.359606
4 96 0.252874
4 97 0.277504
4 98 0.673235
4 99 0.789819
5 6 0.285714
5 7 0.674877
5 8 0.840722
5 9 0.463054
5 10 0.610837
5 11 0.817734
5 12 0.131363
5 13 0.157635
5 14 0.515599
5 15 0.464696
5 16 0.559934
5 17 0.532020
5 18 0.706076
5 19 0.576355
5 20 0.607553
5 21 0.650246
5 22 0.128079
5 23 0.556650
5 24 0.568144
5 25 0.083744
5 26 0.865353
5 27 0.587849
5 28 0.234811
5 29 0.471264
5 30 0.660099
5 31 0.671593
5 32 0.055829
5 33 0.331691
5 34 0.546798
5 35 0.719212
5 36 0.459770
5 37 0.563218
5 38 0.564860
5 39 0.638752
5 40 0.645320
5 41 0.284072
5 42 0.152709
5 43 0.213465
5 44 0.635468
5 45 0.126437
5 46 0.637110
5 47 0.201970
5 48 0.243021
5 49 0.440066
5 50 0.129721
5 51 0.587849
5 52 0.210181
5 53 0.753695
5 54 0.766831
5 55 0.509031
5 56 0.426929
5 57 0.689655
5 58 0.266010
5 59 0.201970
5 60 0.354680
5 61 0.563218
5 62 0.591133
5 63 0.310345
5 64 0.702791
5 65 0.724138
5 66 0.577997
5 67 0.848933
5 68 0.270936
5 69 0.282430
5 70 0.786535
5 71 0.538588
5 72 0.589491
5 73 0.579639
5 74 0.399015
5 75 0.201970
5 76 0.338259
5 77 0.536946
5 78 0.696223
5 79 0.106732
5 80 0.756979
5 81 0.366174
5 82 0.530378
5 83 0.280788
5 84 0.663383
5 85 0.745484
5 86 0.576355
5 87 0.786535
5 88 0.596059
5 89 0.671593
5 90 0.121511
5 91 0.351396
5 92 0.638752
5 93 0.239737
5 94 0.604269
5 95 0.645320
5 96 0.482759
5 97 0.661741
5 98 0.359606
5 99 0.108374
6 7 0.614122
6 8 0.650246
6 9 0.290640
6 10 0.507389
