100 4950
0 1 0.058559
0 2 0.331832
0 3 0.504505
0 4 0.731231
0 5 0.247748
0 6 0.166667
0 7 0.094595
0 8 0.285285
0 9 0.223724
0 10 0.367868
0 11 0.509009
0 12 0.539039
0 13 0.210210
0 14 0.810811
0 15 0.500000
0 16 0.025526
0 17 0.375375
0 18 0.148649
0 19 0.153153
0 20 0.189189
0 21 0.051051
0 22 0.669670
0 23 0.542042
0 24 0.108108
0 25 0.235736
0 26 0.339339
0 27 0.678679
0 28 0.659159
0 29 0.355856
0 30 0.136637
0 31 0.611111
0 32 0.043544
0 33 0.561562
0 34 0.555556
0 35 0.768769
0 36 0.396396
0 37 0.358859
0 38 0.367868
0 39 0.524024
0 40 0.426426
0 41 0.267267
0 42 0.704204
0 43 0.423423
0 44 0.546547
0 45 0.438438
0 46 0.657658
0 47 0.430931
0 48 0.253754
0 49 0.693694
0 50 0.385886
0 51 0.710210
0 52 0.214715
0 53 0.647147
0 54 0.349850
0 55 0.800300
0 56 0.396396
0 57 0.677177
0 58 0.510511
0 59 0.315315
0 60 0.276276
0 61 0.319820
0 62 0.159159
0 63 0.343844
0 64 0.384384
0 65 0.081081
0 66 0.460961
0 67 0.690691
0 68 0.385886
0 69 0.288288
0 70 0.567568
0 71 0.534535
0 72 0.256757
0 73 0.460961
0 74 0.596096
0 75 0.647147
0 76 0.172673
0 77 0.225225
0 78 0.397898
0 79 0.181682
0 80 0.439940
0 81 0.123123
0 82 0.280781
0 83 0.524024
0 84 0.581081
0 85 0.570571
0 86 0.216216
0 87 0.519520
0 88 0.537538
0 89 0.417417
0 90 0.626126
0 91 0.399399
0 92 0.361862
0 93 0.391892
0 94 0.217718
0 95 0.615616
0 96 0.358859
0 97 0.536036
0 98 0.627628
0 99 0.512012
1 2 0.390390
1 3 0.503003
1 4 0.756757
1 5 0.195195
1 6 0.222222
1 7 0.048048
1 8 0.343844
1 9 0.265766
1 10 0.426426
1 11 0.495495
1 12 0.552553
1 13 0.154655
1 14 0.845345
1 15 0.537538
1 16 0.033033
1 17 0.414414
1 18 0.172673
1 19 0.105105
1 20 0.165165
1 21 0.045045
1 22 0.696697
1 23 0.560060
1 24 0.051051
1 25 0.178679
1 26 0.346847
1 27 0.711712
1 28 0.677177
1 29 0.352853
1 30 0.078078
1 31 0.599099
1 32 0.078078
1 33 0.563063
1 34 0.560060
1 35 0.806306
1 36 0.400901
1 37 0.319820
1 38 0.387387
1 39 0.510511
1 40 0.483483
1 41 0.231231
1 42 0.687688
1 43 0.439940
1 44 0.534535
1 45 0.451952
1 46 0.642643
1 47 0.475976
1 48 0.250751
1 49 0.693694
1 50 0.370871
1 51 0.746246
1 52 0.168168
1 53 0.644144
1 54 0.313814
1 55 0.833333
1 56 0.454955
1 57 0.695195
1 58 0.564565
1 59 0.346847
1 60 0.237237
1 61 0.327327
1 62 0.114114
1 63 0.336336
1 64 0.411411
1 65 0.139640
1 66 0.466967
1 67 0.729730
1 68 0.444444
1 69 0.342342
1 70 0.608108
1 71 0.527027
1 72 0.315315
1 73 0.519520
1 74 0.605105
1 75 0.677177
1 76 0.120120
1 77 0.225225
1 78 0.397898
1 79 0.133634
1 80 0.451952
1 81 0.069069
