100 4950
0 1 0.432671
0 2 0.247241
0 3 0.116998
0 4 0.807947
0 5 0.209713
0 6 0.584989
0 7 0.459161
0 8 0.410596
0 9 0.587196
0 10 0.324503
0 11 0.520971
0 12 0.580574
0 13 0.657837
0 14 0.748344
0 15 0.245033
0 16 0.262693
0 17 0.236203
0 18 0.362031
0 19 0.613687
0 20 0.271523
0 21 0.883002
0 22 0.423841
0 23 0.322296
0 24 0.538631
0 25 0.699779
0 26 0.264901
0 27 0.216336
0 28 0.130243
0 29 0.256071
0 30 0.849890
0 31 0.558499
0 32 0.615894
0 33 0.284768
0 34 0.982340
0 35 0.355408
0 36 0.342163
0 37 0.280353
0 38 0.715232
0 39 0.596026
0 40 0.116998
0 41 0.203091
0 42 0.626932
0 43 0.320088
0 44 0.545254
0 45 0.295806
0 46 0.434879
0 47 0.514349
0 48 0.150110
0 49 0.602649
0 50 0.094923
0 51 0.642384
0 52 0.845475
0 53 0.384106
0 54 0.607064
0 55 0.169978
0 56 0.944812
0 57 0.094923
0 58 0.507726
0 59 0.198675
0 60 0.344371
0 61 0.496689
0 62 0.759382
0 63 0.545254
0 64 0.130243
0 65 0.410596
0 66 0.675497
0 67 0.695364
0 68 0.878587
0 69 0.397351
0 70 0.094923
0 71 0.907285
0 72 0.509934
0 73 0.368653
0 74 0.207506
0 75 0.761589
0 76 0.569536
0 77 0.375276
0 78 0.211921
0 79 0.710817
0 80 0.697572
0 81 0.068433
0 82 0.302428
0 83 0.924945
0 84 0.370861
0 85 0.339956
0 86 0.763797
0 87 0.713024
0 88 0.644592
0 89 0.269316
0 90 0.624724
0 91 0.538631
0 92 0.099338
0 93 0.997792
0 94 0.498896
0 95 0.125828
0 96 0.673289
0 97 0.878587
0 98 0.865342
0 99 0.474614
1 2 0.288991
1 3 0.339450
1 4 0.417431
1 5 0.635321
1 6 0.681193
1 7 0.084862
1 8 0.422018
1 9 0.844037
1 10 0.715596
1 11 0.116972
1 12 0.878440
1 13 0.305046
1 14 0.327982
1 15 0.552752
1 16 0.694954
1 17 0.275229
1 18 0.325688
1 19 0.399083
1 20 0.474771
1 21 0.630734
1 22 0.222477
1 23 0.451835
1 24 0.584862
1 25 0.465596
1 26 0.298165
1 27 0.509174
1 28 0.543578
1 29 0.199541
1 30 0.571101
1 31 0.775229
1 32 0.337156
1 33 0.594037
1 34 0.910550
1 35 0.174312
1 36 0.366972
1 37 0.449541
1 38 0.784404
1 39 0.217890
1 40 0.488532
1 41 0.270642
1 42 0.678899
1 43 0.550459
1 44 0.639908
1 45 0.259174
1 46 0.181193
1 47 0.816514
1 48 0.591743
1 49 0.997706
1 50 0.456422
1 51 0.408257
1 52 0.431193
1 53 0.720183
1 54 0.183486
1 55 0.555046
1 56 0.841743
1 57 0.355505
1 58 0.832569
1 59 0.655963
1 60 0.683486
1 61 0.247706
1 62 0.344037
1 63 0.153670
1 64 0.479358
1 65 0.373853
1 66 0.516055
1 67 0.327982
1 68 0.481651
1 69 0.419725
1 70 0.357798
1 71 0.750000
1 72 0.327982
1 73 0.479358
1 74 0.658257
1 75 0.350917
1 76 0.392202
1 77 0.745413
1 78 0.669725
1 79 0.665138
1 80 0.564220
1 81 0.378440
1 82 0.282110
1 83 0.513761
1 84 0.332569
1 85 0.596330
1 86 0.371560
1 87 0.717890
1 88 0.660550
1 89 0.169725
1 90 0.637615
1 91 0.809633
1 92 0.417431
1 93 0.928899
1 94 0.105505
1 95 0.555046
1 96 0.692661
1 97 0.504587
1 98 0.449541
1 99 0.711009
2 3 0.174157
2 4 0.747191
2 5 0.581461
2 6 0.550562
2 7 0.435393
2 8 0.252809
2 9 0.691011
2 10 0.530899
2 11 0.415730
2 12 0.724719
2 13 0.719101
2 14 0.730337
2 15 0.581461
2 16 0.533708
2 17 0.025281
2 18 0.157303
2 19 0.466292
2 20 0.556180
2 21 0.808989
2 22 0.230337
2 23 0.581461
2 24 0.452247
2 25 0.575843
2 26 0.028090
2 27 0.530899
2 28 0.359551
2 29 0.272472
2 30 0.766854
2 31 0.615169
2 32 0.471910
2 33 0.373596
2 34 0.977528
2 35 0.398876
2 36 0.157303
2 37 0.544944
2 38 0.702247
2 39 0.615169
2 40 0.280899
2 41 0.297753
2 42 0.575843
2 43 0.643258
2 44 0.497191
2 45 0.064607
2 46 0.258427
2 47 0.646067
2 48 0.502809
2 49 0.870787
2 50 0.255618
2 51 0.502809
2 52 0.865169
2 53 0.528090
2 54 0.570225
2 55 0.519663
2 56 0.918539
2 57 0.207865
2 58 0.665730
2 59 0.544944
2 60 0.483146
2 61 0.320225
2 62 0.764045
2 63 0.539326
2 64 0.441011
2 65 0.227528
2 66 0.553371
2 67 0.595506
2 68 0.839888
2 69 0.241573
2 70 0.266854
2 71 0.851124
2 72 0.643258
2 73 0.266854
2 74 0.573034
2 75 0.780899
2 76 0.412921
2 77 0.561798
2 78 0.564607
2 79 0.634831
2 80 0.587079
2 81 0.264045
2 82 0.429775
2 83 0.963483
2 84 0.168539
2 85 0.685393
2 86 0.808989
2 87 0.662921
2 88 0.575843
2 89 0.235955
2 90 0.550562
2 91 0.643258
2 92 0.210674
2 93 0.997191
2 94 0.382022
2 95 0.382022
2 96 0.617978
2 97 0.825843
2 98 0.867978
2 99 0.528090
3 4 0.758454
3 5 0.355072
3 6 0.577295
3 7 0.400966
3 8 0.352657
3 9 0.637681
3 10 0.410628
3 11 0.446860
3 12 0.647343
3 13 0.632850
3 14 0.702899
3 15 0.352657
3 16 0.374396
3 17 0.132850
3 18 0.282609
3 19 0.548309
3 20 0.342995
3 21 0.842995
3 22 0.335749
3 23 0.379227
3 24 0.509662
3 25 0.642512
3 26 0.171498
3 27 0.311594
3 28 0.214976
3 29 0.193237
3 30 0.804348
3 31 0.589372
3 32 0.545894
3 33 0.316425
3 34 0.980676
3 35 0.314010
3 36 0.270531
3 37 0.340580
3 38 0.714976
3 39 0.555556
3 40 0.161836
3 41 0.166667
3 42 0.613527
3 43 0.413043
3 44 0.531401
3 45 0.200483
3 46 0.347826
3 47 0.574879
3 48 0.292271
3 49 0.719807
3 50 0.125604
3 51 0.579710
3 52 0.814010
3 53 0.444444
3 54 0.553140
3 55 0.297101
3 56 0.934783
3 57 0.028986
3 58 0.577295
3 59 0.340580
