100 4950
0 1 0.994318
0 2 0.992593
0 3 0.818493
0 4 0.669841
0 5 0.647208
0 6 0.494662
0 7 0.322946
0 8 0.801909
0 9 0.759494
0 10 0.424855
0 11 0.227405
0 12 0.194631
0 13 0.285421
0 14 0.071809
0 15 0.255605
0 16 0.299180
0 17 0.720930
0 18 0.799172
0 19 0.505828
0 20 0.790554
0 21 0.231308
0 22 0.513131
0 23 0.238683
0 24 0.237903
0 25 0.056410
0 26 0.728972
0 27 0.722611
0 28 0.601648
0 29 0.588803
0 30 0.268657
0 31 0.420690
0 32 0.308605
0 33 0.597895
0 34 0.423313
0 35 0.219758
0 36 0.515086
0 37 0.247887
0 38 0.762195
0 39 0.313544
0 40 0.700355
0 41 0.554913
0 42 0.536199
0 43 0.705061
0 44 0.445545
0 45 0.324000
0 46 0.512552
0 47 0.290055
0 48 0.661710
0 49 0.367292
0 50 0.393750
0 51 0.471380
0 52 0.724426
0 53 0.574324
0 54 0.274336
0 55 0.677043
0 56 0.729819
0 57 0.529114
0 58 0.472222
0 59 0.190476
0 60 0.543011
0 61 0.212230
0 62 0.178484
0 63 0.465483
0 64 0.323045
0 65 0.618123
0 66 0.665323
0 67 0.361878
0 68 0.650862
0 69 0.586724
0 70 0.586325
0 71 0.201699
0 72 0.206463
0 73 0.495098
0 74 0.659919
0 75 0.481855
0 76 0.297645
0 77 0.591398
0 78 0.607774
0 79 0.505618
0 80 0.303965
0 81 0.510251
0 82 0.616780
0 83 0.323755
0 84 0.073460
0 85 0.468284
0 86 0.059242
0 87 0.633867
0 88 0.188960
0 89 0.196121
0 90 0.633663
0 91 0.229592
0 92 0.658635
0 93 0.707865
0 94 0.622685
0 95 0.296355
0 96 0.520788
0 97 0.391924
0 98 0.572816
0 99 0.231362
1 2 0.318519
1 3 0.996575
1 4 0.996825
1 5 0.210660
1 6 0.718861
1 7 0.654391
1 8 0.458234
1 9 0.685654
1 10 0.742775
1 11 0.282799
1 12 0.534676
1 13 0.443532
1 14 0.428191
1 15 0.381166
1 16 0.430328
1 17 0.292359
1 18 0.561077
1 19 0.240093
1 20 0.583162
1 21 0.364486
1 22 0.341414
1 23 0.598765
1 24 0.588710
1 25 0.417949
1 26 0.404206
1 27 0.594406
1 28 0.535714
1 29 0.694981
1 30 0.633262
1 31 0.721839
1 32 0.614243
1 33 0.256842
1 34 0.337423
1 35 0.534274
1 36 0.678879
1 37 0.259155
1 38 0.465447
1 39 0.636364
1 40 0.409574
1 41 0.375723
1 42 0.185520
1 43 0.418848
1 44 0.448845
1 45 0.424000
1 46 0.246862
1 47 0.491713
1 48 0.689591
1 49 0.554960
1 50 0.254167
1 51 0.387205
1 52 0.592902
1 53 0.632883
1 54 0.575221
1 55 0.383268
1 56 0.487644
1 57 0.091139
1 58 0.368056
1 59 0.272487
1 60 0.131720
1 61 0.483813
1 62 0.288509
1 63 0.270217
1 64 0.327160
1 65 0.676375
1 66 0.360887
1 67 0.497238
1 68 0.368534
1 69 0.211991
1 70 0.664957
1 71 0.515924
1 72 0.491921
1 73 0.315359
1 74 0.338057
1 75 0.163306
1 76 0.186296
1 77 0.395161
1 78 0.637809
1 79 0.552809
1 80 0.158590
1 81 0.542141
1 82 0.260771
1 83 0.273946
1 84 0.343602
1 85 0.218284
1 86 0.355450
1 87 0.366133
1 88 0.373673
1 89 0.327586
1 90 0.472772
1 91 0.448980
1 92 0.317269
1 93 0.473783
1 94 0.319444
1 95 0.567353
1 96 0.560175
1 97 0.026128
1 98 0.417476
1 99 0.444730
2 3 0.969178
2 4 0.936508
2 5 0.304569
2 6 0.661922
2 7 0.532578
2 8 0.553699
2 9 0.717300
2 10 0.676301
2 11 0.163265
2 12 0.436242
2 13 0.359343
2 14 0.313830
2 15 0.289238
2 16 0.348361
2 17 0.398671
2 18 0.631470
2 19 0.242424
2 20 0.646817
2 21 0.266355
2 22 0.331313
2 23 0.514403
2 24 0.504032
2 25 0.310256
2 26 0.492991
2 27 0.636364
2 28 0.554945
2 29 0.681467
2 30 0.552239
2 31 0.659770
2 32 0.540059
2 33 0.320000
2 34 0.296524
2 35 0.445565
2 36 0.650862
2 37 0.135211
2 38 0.546748
2 39 0.560297
2 40 0.485816
2 41 0.410405
2 42 0.239819
2 43 0.495637
2 44 0.419142
2 45 0.350000
2 46 0.265690
2 47 0.433702
2 48 0.695167
2 49 0.509383
2 50 0.218750
2 51 0.373737
2 52 0.636743
2 53 0.628378
2 54 0.508850
2 55 0.464981
2 56 0.555189
2 57 0.189873
2 58 0.348958
2 59 0.171958
2 60 0.231183
2 61 0.404676
2 62 0.183374
2 63 0.264300
2 64 0.261317
2 65 0.674757
2 66 0.443548
2 67 0.455801
2 68 0.446121
2 69 0.301927
2 70 0.658120
2 71 0.447983
2 72 0.414722
2 73 0.323529
2 74 0.423077
2 75 0.215726
2 76 0.117773
2 77 0.440860
2 78 0.643110
2 79 0.548315
2 80 0.088106
2 81 0.539863
2 82 0.356009
2 83 0.220307
2 84 0.246445
2 85 0.242537
2 86 0.258294
2 87 0.439359
2 88 0.282378
2 89 0.234914
2 90 0.517327
2 91 0.385204
2 92 0.405622
2 93 0.541199
2 94 0.400463
2 95 0.499208
2 96 0.557987
2 97 0.076010
2 98 0.458738
2 99 0.383033
3 4 0.266667
3 5 0.918782
3 6 0.370107
3 7 0.997167
3 8 0.744630
3 9 0.360759
3 10 0.315029
3 11 0.749271
3 12 0.702461
3 13 0.776181
3 14 0.696809
3 15 0.778027
3 16 0.786885
3 17 0.817276
3 18 0.612836
3 19 0.902098
3 20 0.564682
3 21 0.768692
3 22 0.903030
3 23 0.559671
3 24 0.584677
3 25 0.658974
3 26 0.677570
3 27 0.393939
3 28 0.329670
3 29 0.135135
3 30 0.503198
3 31 0.314943
3 32 0.400593
3 33 0.856842
3 34 0.854806
3 35 0.655242
3 36 0.088362
3 37 0.769014
3 38 0.693089
3 39 0.578850
3 40 0.703901
3 41 0.508671
3 42 0.843891
3 43 0.703316
3 44 0.514851
3 45 0.798000
3 46 0.851464
3 47 0.381215
3 48 0.228625
3 49 0.276139
3 50 0.800000
3 51 0.592593
3 52 0.415449
3 53 0.092342
3 54 0.327434
3 55 0.645914
3 56 0.649094
3 57 0.815190
3 58 0.833333
3 59 0.637566
3 60 0.733871
3 61 0.607914
3 62 0.691932
3 63 0.824458
3 64 0.779835
3 65 0.229773
3 66 0.647177
3 67 0.334254
3 68 0.586207
3 69 0.764454
3 70 0.179487
3 71 0.369427
3 72 0.585278
3 73 0.785948
3 74 0.680162
3 75 0.750000
3 76 0.702355
3 77 0.486559
3 78 0.196113
3 79 0.123596
3 80 0.696035
3 81 0.152620
3 82 0.682540
3 83 0.729885
3 84 0.590047
3 85 0.761194
3 86 0.566351
3 87 0.558352
3 88 0.692144
3 89 0.689655
3 90 0.420792
3 91 0.387755
3 92 0.734940
3 93 0.571161
3 94 0.599537
3 95 0.556260
3 96 0.118162
3 97 0.693587
3 98 0.407767
3 99 0.393316
4 5 0.997462
4 6 0.402135
4 7 0.889518
4 8 0.897375
4 9 0.537975
4 10 0.187861
4 11 0.740525
4 12 0.604027
4 13 0.714579
4 14 0.632979
4 15 0.730942
4 16 0.731557
4 17 0.970100
4 18 0.772257
4 19 0.927739
4 20 0.728953
4 21 0.724299
4 22 0.909091
4 23 0.430041
4 24 0.461694
4 25 0.597436
4 26 0.822430
4 27 0.582751
4 28 0.502747
4 29 0.222008
4 30 0.358209
4 31 0.131034
4 32 0.341246
4 33 0.917895
4 34 0.842536
4 35 0.554435
4 36 0.105603
4 37 0.763380
4 38 0.831301
4 39 0.448980
4 40 0.813830
4 41 0.647399
4 42 0.895928
