100 4950
0 1 0.012165
0 2 0.015625
0 3 0.010267
0 4 0.016447
0 5 0.015432
0 6 0.022026
0 7 0.019380
0 8 0.045455
0 9 0.022831
0 10 0.011848
0 11 0.021368
0 12 0.018382
0 13 0.026596
0 14 0.012500
0 15 0.012285
0 16 0.011287
0 17 0.011962
0 18 0.015060
0 19 0.026178
0 20 0.010438
0 21 0.017007
0 22 0.092593
0 23 0.014045
0 24 0.037037
0 25 0.023364
0 26 0.012019
0 27 0.013514
0 28 0.010638
0 29 0.011136
0 30 0.018727
0 31 0.012407
0 32 0.065789
0 33 0.021277
0 34 0.009452
0 35 0.032680
0 36 0.024510
0 37 0.021097
0 38 0.019157
0 39 0.018587
0 40 0.010438
0 41 0.035461
0 42 0.011820
0 43 0.023364
0 44 0.011312
0 45 0.013928
0 46 0.035461
0 47 0.151515
0 48 0.025510
0 49 0.019305
0 50 0.049505
0 51 0.024752
0 52 0.013298
0 53 0.021097
0 54 0.014577
0 55 0.071429
0 56 0.011710
0 57 0.018116
0 58 0.016181
0 59 0.200000
0 60 0.013812
0 61 0.014045
0 62 0.011765
0 63 0.012887
0 64 0.029412
0 65 0.023041
0 66 0.012255
0 67 0.031056
0 68 0.017921
0 69 0.010549
0 70 0.026178
0 71 0.017606
0 72 0.010331
0 73 0.010846
0 74 0.023148
0 75 0.017857
0 76 0.029070
0 77 0.021739
0 78 0.017921
0 79 0.027473
0 80 0.021459
0 81 0.044643
0 82 0.031250
0 83 0.021368
0 84 0.011737
0 85 0.096154
0 86 0.010460
0 87 0.021097
0 88 0.014164
0 89 0.025641
0 90 0.020661
0 91 0.026738
0 92 0.011765
0 93 0.011737
0 94 0.010460
0 95 0.029240
0 96 0.024272
0 97 0.010482
0 98 0.032051
0 99 0.022523
1 2 0.028571
1 3 0.015291
1 4 0.013812
1 5 0.053191
1 6 0.012821
1 7 0.021739
1 8 0.013263
1 9 0.017182
1 10 0.217391
1 11 0.027933
1 12 0.009980
1 13 0.009960
1 14 0.135135
1 15 0.015625
1 16 0.013405
1 17 0.025907
1 18 0.056818
1 19 0.018182
1 20 0.067568
1 21 0.042373
1 22 0.013928
1 23 0.019920
1 24 0.016835
1 25 0.017544
1 26 0.017857
1 27 0.080645
1 28 0.015625
1 29 0.018116
1 30 0.008993
1 31 0.012438
1 32 0.012953
1 33 0.013624
1 34 0.011962
1 35 0.016556
1 36 0.012987
1 37 0.013812
1 38 0.029586
1 39 0.023256
1 40 0.013298
1 41 0.010941
1 42 0.015385
1 43 0.014837
1 44 0.096154
1 45 0.092593
1 46 0.018248
1 47 0.013193
1 48 0.011574
1 49 0.032468
1 50 0.010616
1 51 0.023474
1 52 0.128205
1 53 0.024876
1 54 0.041667
1 55 0.014368
1 56 0.021552
1 57 0.009488
1 58 0.042735
1 59 0.012469
1 60 0.050000
1 61 0.012407
1 62 0.011468
1 63 0.011933
1 64 0.014124
1 65 0.024155
1 66 0.192308
1 67 0.009823
1 68 0.030303
1 69 0.068493
1 70 0.021834
1 71 0.020161
1 72 0.014620
1 73 0.013193
1 74 0.023810
1 75 0.010163
1 76 0.017422
1 77 0.009960
1 78 0.030120
1 79 0.010616
1 80 0.010460
1 81 0.016129
1 82 0.017668
1 83 0.009346
1 84 0.050000
1 85 0.011820
1 86 0.017668
1 87 0.027933
1 88 0.053763
1 89 0.014286
1 90 0.016234
1 91 0.013966
1 92 0.014881
1 93 0.022124
1 94 0.070423
1 95 0.020243
1 96 0.010799
1 97 0.020833
1 98 0.019531
1 99 0.020921
2 3 0.024038
2 4 0.026596
2 5 0.030864
2 6 0.012531
2 7 0.070423
2 8 0.020243
2 9 0.037313
2 10 0.025510
2 11 0.038760
2 12 0.014925
2 13 0.014124
2 14 0.025907
2 15 0.030303
2 16 0.022727
2 17 0.049505
2 18 0.030303
2 19 0.018519
2 20 0.023697
2 21 0.039683
2 22 0.018116
2 23 0.056818
2 24 0.026882
2 25 0.016779
2 26 0.035714
2 27 0.026738
2 28 0.025641
2 29 0.031847
2 30 0.012594
2 31 0.021277
2 32 0.018657
2 33 0.024876
2 34 0.017483
2 35 0.018051
2 36 0.022222
2 37 0.025641
2 38 0.025907
2 39 0.019157
2 40 0.021186
2 41 0.015773
2 42 0.028409
2 43 0.014409
2 44 0.022124
2 45 0.037313
2 46 0.026738
2 47 0.017361
2 48 0.018116
2 49 0.034247
2 50 0.014409
2 51 0.035971
2 52 0.030488
2 53 0.023364
2 54 0.022727
2 55 0.019920
2 56 0.041322
2 57 0.013774
2 58 0.061728
2 59 0.015674
2 60 0.023041
2 61 0.021739
2 62 0.018587
2 63 0.020161
2 64 0.014663
2 65 0.044248
2 66 0.032468
2 67 0.013477
2 68 0.089286
2 69 0.024876
2 70 0.036232
2 71 0.065789
2 72 0.023256
2 73 0.021645
2 74 0.024876
2 75 0.015432
2 76 0.018450
2 77 0.014535
2 78 0.023697
2 79 0.015576
2 80 0.015773
2 81 0.019608
2 82 0.030864
2 83 0.013158
2 84 0.040000
2 85 0.016077
2 86 0.027778
2 87 0.029762
2 88 0.060241
2 89 0.014286
2 90 0.035461
2 91 0.024510
2 92 0.027027
2 93 0.042373
2 94 0.020833
2 95 0.032051
2 96 0.016287
2 97 0.030488
2 98 0.027778
2 99 0.050000
3 4 0.023148
3 5 0.014045
3 6 0.008278
3 7 0.020833
3 8 0.012853
3 9 0.018587
3 10 0.014409
3 11 0.014881
3 12 0.013228
3 13 0.011186
