100 4950
0 1 0.107843
0 2 0.050000
0 3 0.134146
0 4 0.122905
0 5 0.091286
0 6 0.075601
0 7 0.053269
0 8 0.044444
0 9 0.127907
0 10 0.079710
0 11 0.085603
0 12 0.133333
0 13 0.058355
0 14 0.081784
0 15 0.056410
0 16 0.056266
0 17 0.051402
0 18 0.189655
0 19 0.059946
0 20 0.048035
0 21 0.194690
0 22 0.062857
0 23 0.075862
0 24 0.194690
0 25 0.126437
0 26 0.130178
0 27 0.217822
0 28 0.282051
0 29 0.044177
0 30 0.164179
0 31 0.189655
0 32 0.093220
0 33 0.229167
0 34 0.057895
0 35 0.063037
0 36 0.076923
0 37 0.135802
0 38 0.059946
0 39 0.057292
0 40 0.076389
0 41 0.080586
0 42 0.628571
0 43 0.478261
0 44 0.058201
0 45 0.056555
0 46 0.078571
0 47 0.063584
0 48 0.080882
0 49 0.055276
0 50 0.051044
0 51 0.289474
0 52 0.041905
0 53 0.147651
0 54 0.054187
0 55 0.217822
0 56 0.188034
0 57 0.052009
0 58 0.045549
0 59 0.057743
0 60 0.112245
0 61 0.148649
0 62 0.141026
0 63 0.132530
0 64 0.137500
0 65 0.082090
0 66 0.044177
0 67 0.077465
0 68 0.076923
0 69 0.077465
0 70 0.042802
0 71 0.156028
0 72 0.044266
0 73 0.072368
0 74 0.423077
0 75 0.046709
0 76 0.062857
0 77 0.041121
0 78 0.135802
0 79 0.078571
0 80 0.056266
0 81 0.067278
0 82 0.045929
0 83 0.060942
0 84 0.060440
0 85 0.045267
0 86 0.096070
0 87 0.046512
0 88 0.090164
0 89 0.167939
0 90 0.053012
0 91 0.065089
0 92 0.956522
0 93 0.511628
0 94 0.067073
0 95 0.050343
0 96 0.065476
0 97 0.057743
0 98 0.118919
0 99 0.045549
1 2 0.043478
1 3 0.060914
1 4 0.151899
1 5 0.091603
1 6 0.045113
1 7 0.046693
1 8 0.040134
1 9 0.187500
1 10 0.121212
1 11 0.033994
1 12 0.079470
1 13 0.041958
1 14 0.100000
1 15 0.044118
1 16 0.060914
1 17 0.053333
1 18 0.054054
1 19 0.039216
1 20 0.043956
1 21 0.129032
1 22 0.062500
1 23 0.036923
1 24 0.123711
1 25 0.255319
1 26 0.169014
1 27 0.057143
1 28 0.093750
1 29 0.037975
1 30 0.136364
1 31 0.120000
1 32 0.230769
1 33 0.065574
1 34 0.063830
1 35 0.056075
1 36 0.082192
1 37 0.056604
1 38 0.043165
1 39 0.057143
1 40 0.111111
1 41 0.166667
1 42 0.067039
1 43 0.073171
1 44 0.048583
1 45 0.039867
1 46 0.081633
1 47 0.078947
1 48 0.153846
1 49 0.054054
1 50 0.035608
1 51 0.063830
1 52 0.033241
1 53 0.054299
1 54 0.057971
1 55 0.059406
1 56 0.053571
1 57 0.054054
1 58 0.042553
1 59 0.066667
1 60 0.923077
1 61 0.076433
1 62 0.081633
1 63 0.059113
1 64 0.148148
1 65 0.099174
1 66 0.040541
1 67 0.121212
1 68 0.065574
1 69 0.141176
1 70 0.033520
1 71 0.073620
1 72 0.040816
1 73 0.110092
1 74 0.075949
1 75 0.040404
1 76 0.072289
1 77 0.031579
1 78 0.052632
1 79 0.042553
1 80 0.054299
1 81 0.077419
1 82 0.043165
1 83 0.065574
1 84 0.039344
1 85 0.041667
1 86 0.050209
1 87 0.044118
1 88 0.071429
1 89 0.113208
1 90 0.050000
1 91 0.049587
1 92 0.060302
1 93 0.073620
1 94 0.093750
1 95 0.037618
1 96 0.064865
1 97 0.041667
1 98 0.040404
1 99 0.037152
2 3 0.099071
2 4 0.122137
2 5 0.083551
2 6 0.123077
2 7 0.969697
2 8 0.237037
2 9 0.117216
2 10 0.103896
2 11 0.073563
2 12 0.110345
2 13 0.196319
2 14 0.184971
2 15 0.288288
2 16 0.268908
2 17 0.131687
2 18 0.082687
2 19 0.149533
2 20 0.450704
2 21 0.094675
2 22 0.086486
2 23 0.091168
2 24 0.096096
2 25 0.114695
