20 190
0 1 0.958333
0 2 0.352941
0 3 0.794872
0 4 0.500000
0 5 0.444444
0 6 0.307692
0 7 0.222222
0 8 0.018692
0 9 0.484375
0 10 0.411765
0 11 0.368421
0 12 0.312500
0 13 0.284091
0 14 0.139535
0 15 0.567568
0 16 0.065217
0 17 0.123288
0 18 0.923077
0 19 0.080460
1 2 0.923077
1 3 0.984127
1 4 0.866667
1 5 0.500000
1 6 0.376471
1 7 0.294118
1 8 0.022989
1 9 0.704545
1 10 0.875000
1 11 0.933333
1 12 0.316456
1 13 0.384615
1 14 0.315789
1 15 0.875000
1 16 0.136364
1 17 0.147541
1 18 0.352941
1 19 0.082353
2 3 0.911765
2 4 0.962963
2 5 0.430769
2 6 0.376471
2 7 0.298507
2 8 0.022989
2 9 0.968750
2 10 0.388889
2 11 0.933333
2 12 0.280899
2 13 0.423729
2 14 0.428571
2 15 0.636364
2 16 0.176471
2 17 0.136364
2 18 0.266667
2 19 0.073684
3 4 0.590909
3 5 0.965517
3 6 0.969697
3 7 0.606061
3 8 0.057143
3 9 0.373494
3 10 0.101449
3 11 0.259259
3 12 0.520833
3 13 0.462963
3 14 0.107143
3 15 0.500000
3 16 0.055556
3 17 0.900000
3 18 0.153846
3 19 0.137255
4 5 0.549020
4 6 0.551724
4 7 0.500000
4 8 0.033333
4 9 0.775000
4 10 0.189189
4 11 0.933333
4 12 0.328947
4 13 0.675676
4 14 0.428571
4 15 0.777778
4 16 0.250000
4 17 0.200000
4 18 0.203390
4 19 0.085366
5 6 0.524590
5 7 0.338983
5 8 0.031250
5 9 0.348315
5 10 0.116667
5 11 0.264151
5 12 0.961538
5 13 0.333333
5 14 0.103448
5 15 0.636364
5 16 0.051724
5 17 0.450000
5 18 0.203390
5 19 0.218750
6 7 0.952381
6 8 0.666667
6 9 0.348315
6 10 0.076087
6 11 0.194444
6 12 0.320513
6 13 0.568182
6 14 0.084507
6 15 0.304348
6 16 0.043478
6 17 0.214286
6 18 0.112150
6 19 0.088608
7 8 0.086957
7 9 0.449275
7 10 0.092105
7 11 0.254545
7 12 0.312500
7 13 0.961538
7 14 0.113208
7 15 0.375000
7 16 0.060000
7 17 0.219512
7 18 0.127660
7 19 0.084337
8 9 0.340659
8 10 0.073684
8 11 0.189189
8 12 0.312500
8 13 0.555556
8 14 0.081081
8 15 0.295775
8 16 0.042254
8 17 0.200000
8 18 0.110092
8 19 0.086420
9 10 0.145833
9 11 0.368421
9 12 0.219298
9 13 0.500000
9 14 0.187500
9 15 0.350000
9 16 0.093750
9 17 0.105882
9 18 0.160000
9 19 0.058333
10 11 0.608696
10 12 0.308642
10 13 0.347222
10 14 0.230769
10 15 0.724138
10 16 0.100000
10 17 0.136364
10 18 0.428571
10 19 0.079545
11 12 0.324675
11 13 0.490196
11 14 0.857143
11 15 0.954545
11 16 0.300000
11 17 0.173077
11 18 0.260870
11 19 0.083333
12 13 0.252525
12 14 0.072289
12 15 0.368421
12 16 0.036145
12 17 0.225000
12 18 0.164384
12 19 0.875000
13 14 0.127660
13 15 0.344262
13 16 0.069767
13 17 0.147541
13 18 0.125000
13 19 0.067961
14 15 0.750000
14 16 0.750000
14 17 0.160714
14 18 0.235294
14 19 0.078652
15 16 0.103448
15 17 0.236842
15 18 0.307692
15 19 0.111111
16 17 0.163636
16 18 0.218182
16 19 0.078652
17 18 0.166667
17 19 0.162791
18 19 0.087500
