100 4950
0 1 304
0 2 297
0 3 433
0 4 277
0 5 302
0 6 322
0 7 235
0 8 166
0 9 356
0 10 199
0 11 63
0 12 402
0 13 416
0 14 232
0 15 300
0 16 208
0 17 350
0 18 425
0 19 318
0 20 283
0 21 352
0 22 331
0 23 446
0 24 104
0 25 384
0 26 204
0 27 390
0 28 54
0 29 417
0 30 178
0 31 290
0 32 234
0 33 354
0 34 152
0 35 290
0 36 166
0 37 168
0 38 395
0 39 64
0 40 294
0 41 339
0 42 246
0 43 306
0 44 140
0 45 108
0 46 384
0 47 211
0 48 352
0 49 132
0 50 172
0 51 366
0 52 426
0 53 427
0 54 429
0 55 318
0 56 52
0 57 326
0 58 374
0 59 339
0 60 249
0 61 200
0 62 169
0 63 281
0 64 349
0 65 306
0 66 103
0 67 186
0 68 365
0 69 410
0 70 292
0 71 368
0 72 378
0 73 245
0 74 415
0 75 243
0 76 109
0 77 232
0 78 438
0 79 464
0 80 205
0 81 258
0 82 114
0 83 404
0 84 22
0 85 358
0 86 318
0 87 290
0 88 125
0 89 362
0 90 228
0 91 291
0 92 315
0 93 278
0 94 310
0 95 388
0 96 272
0 97 229
0 98 290
0 99 65
1 2 96
1 3 131
1 4 69
1 5 4
1 6 132
1 7 249
1 8 142
1 9 383
1 10 136
1 11 367
1 12 381
1 13 156
1 14 95
1 15 200
1 16 475
1 17 90
1 18 375
1 19 44
1 20 88
1 21 238
1 22 110
1 23 145
1 24 406
1 25 81
1 26 234
1 27 337
1 28 351
1 29 363
1 30 132
1 31 276
1 32 86
1 33 132
1 34 174
1 35 55
1 36 413
1 37 151
1 38 115
1 39 242
1 40 195
1 41 232
1 42 81
1 43 159
1 44 164
1 45 209
1 46 94
1 47 272
1 48 129
1 49 192
1 50 190
1 51 337
1 52 123
1 53 345
1 54 140
1 55 146
1 56 275
1 57 58
1 58 132
1 59 133
1 60 268
1 61 398
1 62 176
1 63 327
1 64 334
1 65 76
1 66 201
1 67 221
1 68 341
1 69 126
1 70 380
1 71 112
1 72 105
1 73 165
1 74 124
1 75 324
1 76 238
1 77 140
1 78 154
1 79 160
1 80 447
1 81 46
1 82 204
1 83 369
1 84 301
1 85 67
1 86 60
1 87 83
1 88 178
1 89 250
