100 4950
0 1 383
0 2 397
0 3 178
0 4 299
0 5 373
0 6 266
0 7 141
0 8 135
0 9 233
0 10 245
0 11 184
0 12 191
0 13 378
0 14 91
0 15 353
0 16 489
0 17 39
0 18 266
0 19 155
0 20 242
0 21 480
0 22 253
0 23 272
0 24 313
0 25 453
0 26 197
0 27 225
0 28 93
0 29 399
0 30 456
0 31 257
0 32 352
0 33 123
0 34 320
0 35 460
0 36 229
0 37 319
0 38 92
0 39 323
0 40 329
0 41 342
0 42 214
0 43 224
0 44 321
0 45 359
0 46 475
0 47 475
0 48 185
0 49 536
0 50 138
0 51 318
0 52 430
0 53 347
0 54 179
0 55 433
0 56 208
0 57 188
0 58 437
0 59 234
0 60 418
0 61 314
0 62 99
0 63 368
0 64 272
0 65 35
0 66 51
0 67 354
0 68 254
0 69 338
0 70 4
0 71 403
0 72 304
0 73 155
0 74 138
0 75 115
0 76 462
0 77 279
0 78 284
0 79 269
0 80 149
0 81 501
0 82 274
0 83 320
0 84 323
0 85 339
0 86 363
0 87 200
0 88 334
0 89 395
0 90 423
0 91 270
0 92 332
0 93 94
0 94 65
0 95 254
0 96 471
0 97 447
0 98 323
0 99 352
1 2 360
1 3 218
1 4 85
1 5 23
1 6 315
1 7 244
1 8 312
1 9 323
1 10 253
1 11 311
1 12 251
1 13 96
1 14 319
1 15 93
1 16 106
1 17 357
1 18 124
1 19 253
1 20 158
1 21 112
1 22 504
1 23 469
1 24 78
1 25 79
1 26 231
1 27 207
1 28 298
1 29 334
1 30 113
1 31 132
1 32 390
1 33 260
1 34 295
1 35 189
1 36 253
1 37 193
1 38 291
1 39 168
1 40 358
1 41 57
1 42 447
1 43 393
1 44 84
1 45 214
1 46 117
1 47 102
1 48 223
1 49 384
1 50 339
1 51 205
1 52 168
1 53 140
1 54 277
1 55 383
1 56 358
1 57 261
1 58 119
1 59 155
1 60 58
1 61 78
1 62 353
1 63 196
1 64 176
1 65 349
1 66 412
1 67 121
1 68 461
1 69 74
1 70 386
1 71 98
1 72 164
1 73 322
1 74 370
1 75 383
1 76 349
1 77 310
1 78 520
1 79 465
1 80 235
1 81 389
1 82 186
1 83 203
1 84 208
1 85 80
1 86 86
1 87 185
1 88 433
1 89 30
1 90 115
1 91 519
1 92 99
1 93 352
1 94 342
1 95 129
1 96 87
1 97 111
1 98 106
1 99 185
2 3 282
2 4 346
2 5 337
2 6 131
2 7 355
2 8 263
2 9 164
2 10 171
2 11 488
2 12 228
2 13 268
2 14 416
2 15 426
2 16 410
2 17 359
2 18 295
2 19 402
2 20 382
2 21 462
2 22 295
2 23 233
2 24 306
2 25 361
2 26 424
2 27 426
2 28 325
2 29 30
2 30 317
2 31 292
2 32 73
2 33 333
2 34 87
2 35 237
2 36 474
2 37 172
2 38 352
2 39 195
2 40 74
2 41 309
2 42 262
2 43 203
2 44 287
2 45 146
2 46 342
2 47 368
2 48 399
2 49 157
2 50 260
2 51 160
2 52 230
2 53 462
2 54 455
2 55 36
2 56 199
2 57 447
2 58 287
2 59 358
2 60 334
2 61 367
2 62 300
2 63 166
2 64 214
2 65 372
2 66 378
2 67 239
2 68 240
2 69 290
2 70 402
2 71 279
2 72 453
2 73 474
2 74 496
2 75 299
2 76 84
2 77 118
2 78 288
2 79 231
2 80 328
2 81 110
2 82 450
2 83 162
2 84 156
2 85 283
2 86 274
2 87 349
2 88 135
2 89 340
2 90 277
2 91 299
2 92 264
2 93 450
2 94 333
2 95 338
2 96 401
2 97 308
2 98 260
2 99 175
3 4 142
3 5 203
3 6 168
3 7 74
3 8 98
3 9 154
3 10 111
3 11 206
3 12 62
3 13 200
3 14 148
3 15 218
3 16 321
3 17 144
3 18 94
3 19 120
3 20 123
3 21 325
3 22 301
3 23 281
3 24 141
3 25 280
3 26 144
3 27 152
3 28 85
3 29 272
3 30 279
3 31 85
3 32 267
3 33 62
3 34 195
3 35 284
3 36 194
3 37 152
3 38 92
3 39 151
3 40 236
3 41 169
3 42 244
3 43 204
3 44 145
3 45 196
3 46 298
3 47 301
3 48 118
3 49 392
3 50 126
3 51 156
3 52 255
3 53 232
3 54 172
3 55 317
3 56 169
3 57 165
3 58 259
3 59 101
3 60 244
3 61 162
3 62 135
3 63 200
3 64 99
3 65 143
3 66 197
3 67 177
3 68 268
3 69 162
3 70 181
3 71 225
3 72 204
3 73 195
3 74 225
3 75 167
3 76 324
3 77 174
3 78 323
3 79 276
3 80 47
3 81 367
3 82 188
3 83 156
3 84 162
3 85 163
3 86 185
3 87 76
3 88 283
3 89 223
3 90 245
3 91 317
3 92 154
3 93 185
3 94 126
3 95 102
3 96 303
3 97 269
3 98 145
3 99 182
4 5 80
4 6 272
4 7 159
4 8 240
4 9 271
4 10 206
4 11 232
4 12 188
4 13 126
4 14 234
4 15 83
4 16 191
4 17 274
4 18 57
4 19 168
4 20 76
4 21 184
4 22 440
4 23 413
4 24 46
4 25 161
4 26 150
4 27 130
4 28 216
4 29 324
4 30 182
4 31 64
4 32 359
4 33 177
4 34 267
4 35 233
4 36 180
4 37 175
4 38 207
4 39 153
4 40 326
4 41 65
4 42 383
4 43 335
4 44 67
4 45 210
4 46 193
4 47 184
4 48 139
4 49 404
4 50 268
4 51 186
4 52 205
4 53 116
4 54 197
4 55 375
4 56 299
4 57 181
4 58 175
4 59 70
4 60 131
4 61 22
4 62 277
4 63 199
4 64 135
4 65 266
4 66 330
4 67 130
4 68 402
4 69 76
4 70 301
4 71 143
4 72 114
4 73 240
4 74 287
4 75 309
4 76 355
4 77 270
4 78 460
4 79 408
4 80 152
4 81 398
4 82 124
4 83 184
4 84 191
4 85 83
4 86 108
4 87 100
4 88 392
4 89 103
4 90 166
4 91 456
4 92 94
4 93 267
4 94 262
4 95 44
4 96 172
4 97 176
4 98 93
4 99 183
5 6 293
5 7 235
5 8 295
5 9 302
5 10 231
5 11 312
5 12 233
5 13 73
5 14 313
5 15 109
5 16 117
5 17 344
5 18 108
5 19 248
5 20 156
5 21 134
5 22 484
5 23 448
5 24 61
5 25 82
5 26 230
5 27 208
5 28 285
5 29 311
5 30 104
5 31 117
5 32 366
5 33 249
5 34 271
5 35 172
5 36 257
5 37 169
5 38 280
5 39 144
5 40 335
5 41 36
5 42 428
5 43 372
5 44 63
5 45 190
5 46 113
5 47 105
5 48 220
5 49 363
5 50 321
5 51 182
5 52 149
5 53 155
5 54 276
5 55 360
5 56 338
5 57 261
5 58 104
5 59 149
5 60 51
5 61 79
5 62 337
5 63 173
5 64 154
5 65 338
5 66 399
5 67 97
5 68 440
5 69 51
5 70 375
5 71 79
5 72 174
5 73 320
5 74 367
5 75 367
5 76 326
5 77 287
5 78 499
5 79 444
5 80 223
5 81 367
5 82 193
5 83 179
5 84 184
5 85 56
5 86 63
5 87 178
5 88 409
5 89 23
5 90 99
5 91 498
5 92 76
5 93 346
5 94 328
5 95 122
5 96 99
5 97 100
5 98 83
5 99 161
6 7 236
6 8 132
6 9 34
6 10 66
6 11 367
6 12 107
6 13 244
6 14 288
6 15 356
6 16 394
6 17 227
6 18 214
6 19 284
6 20 285
6 21 427
6 22 212
6 23 162
6 24 243
6 25 345
6 26 312
6 27 320
6 28 195
6 29 135
6 30 317
6 31 208
6 32 99
6 33 210
6 34 62
6 35 268
6 36 363
6 37 134
6 38 225
6 39 157
6 40 68
6 41 258
6 42 163
6 43 98
6 44 231
6 45 147
6 46 342
6 47 359
6 48 287
6 49 276
6 50 129
6 51 123
6 52 247
6 53 383
6 54 337
6 55 167
6 56 77
6 57 331
6 58 287
6 59 261
6 60 311
6 61 294
6 62 169
6 63 166
6 64 140
6 65 241
6 66 248
6 67 210
6 68 159
6 69 241
6 70 270
6 71 265
6 72 363
6 73 351
6 74 368
6 75 171
6 76 200
6 77 15
6 78 218
6 79 158
6 80 209
6 81 237
6 82 353
6 83 126
6 84 124
6 85 236
6 86 241
6 87 243
6 88 120
6 89 305
6 90 273
6 91 222
6 92 218
6 93 321
6 94 201
6 95 249
6 96 380
6 97 306
6 98 210
6 99 161
7 8 131
7 9 215
7 10 183
7 11 132
7 12 129
7 13 252
7 14 81
7 15 213
7 16 350
7 17 121
7 18 134
7 19 48
7 20 103
7 21 339
7 22 330
7 23 323
7 24 179
7 25 317
7 26 83
7 27 102
7 28 73
7 29 346
7 30 326
7 31 127
7 32 335
7 33 32
7 34 268
7 35 347
7 36 132
7 37 224
7 38 50
7 39 219
7 40 304
7 41 208
7 42 277
7 43 251
7 44 190
7 45 269
7 46 343
7 47 340
7 48 59
7 49 466
7 50 158
7 51 229
7 52 317
7 53 212
7 54 100
7 55 391
7 56 219
7 57 96
7 58 311
7 59 93
7 60 284
7 61 172
7 62 146
7 63 271
7 64 169
7 65 109
7 66 177
7 67 236
7 68 307
7 69 207
7 70 143
7 71 276
7 72 173
7 73 120
7 74 152
7 75 180
7 76 399
7 77 244
7 78 356
7 79 318
7 80 27
7 81 442
7 82 148
7 83 229
7 84 235
7 85 210
