20 190
9 2 159.31415505221122
15 3 63.06346010171025
14 5 134.61797799699713
15 10 154.63505424062166
9 10 233.77339455121918
6 11 47.43416490252569
1 2 71.78439941937245
0 2 64.6297145282261
13 8 139.97856978837868
14 16 196.82479518597245
3 11 56.586217403180434
6 7 123.1990259701756
1 10 138.70832707519762
0 10 141.6756859873987
9 18 149.01342221424215
12 13 88.50988645343524
3 7 126.84636376341263
6 17 125.63439019631528
18 7 99.31767214348109
15 11 58.52349955359813
13 19 69.12307863514182
8 16 64.63745044476924
12 0 65.19202405202648
1 18 63.97655820689325
0 18 92.89241088485109
1 8 121.49897118905987
6 5 122.64175471673585
15 7 133.5402561027947
9 7 213.693706037403
4 3 62.00806399170998
9 14 75.16648189186454
14 17 133.6600164596728
3 5 120.50311199301038
18 5 103.77379245262264
1 19 61.40032573203501
6 16 169.04733065032408
13 1 50.0
15 5 133.3641631023867
11 8 82.05485969764375
3 16 185.39956850003725
9 5 209.1219739769114
7 10 21.095023109728988
18 16 131.13733259449805
2 17 50.59644256269407
12 2 129.0620006043607
9 12 30.59411708155671
4 11 77.41446893184762
11 19 26.92582403567252
15 16 177.68511473953018
13 0 82.0
9 16 267.22649569232465
17 10 30.4138126514911
12 10 203.17972339778396
7 8 6.4031242374328485
4 7 155.0
4 17 155.7080601638849
12 15 71.06335201775947
0 16 181.4717608885746
12 18 122.34786471369249
12 8 185.9247159470736
4 5 153.55129436120035
5 8 10.0
12 19 127.90621564255585
13 2 108.4665847162157
17 7 23.021728866442675
4 16 201.79197209007103
12 14 45.0111097397076
13 3 82.20097323024831
13 10 155.7562197795003
9 3 91.0
13 18 42.20189569201838
12 1 66.70832032063167
18 11 51.419840528729765
1 3 33.0
17 16 82.49242389456137
19 2 56.04462507680822
11 2 42.44997055358225
9 11 136.31214179228496
14 6 51.97114584074513
13 7 134.8517704741024
3 17 118.87808881370864
19 10 86.68333173107735
18 17 110.20889256316842
11 10 99.18165152889924
15 17 136.56134152826706
1 11 39.81205847478876
0 11 53.150729063673246
19 8 70.8801805866774
9 17 208.62646045025065
13 5 136.6235704408284
1 7 118.0889495253472
0 7 122.7721466783081
1 17 116.21101496846157
0 17 114.75626344561765
13 16 172.74258305351347
14 19 90.78546139112804
1 5 115.03912377969506
0 5 116.3872845288522
12 3 61.29437168288782
11 7 78.40918313565064
5 10 25.495097567963924
1 16 170.46993869888027
11 5 76.16429609731846
12 11 105.94810050208545
14 13 76.02631123499285
11 16 131.51805959639154
6 19 59.53990258641679
12 7 183.12017911743098
14 0 20.396078054371138
5 7 13.152946437965905
12 17 178.12635964393365
7 16 63.12685640834652
4 6 32.7566787083184
12 5 178.53851125177448
2 8 62.96824596572466
13 11 66.40030120413611
12 16 237.15395843207003
5 16 74.63243262818116
14 2 84.1486779456457
6 0 55.90169943749474
18 10 119.4026800369238
14 10 159.62455951387932
3 0 4.123105625617661
15 13 20.09975124224178
9 4 72.18032973047436
13 17 141.15594213493105
15 0 63.245553203367585
14 18 96.15092303249095
14 8 142.44297104455524
19 7 65.73431371817918
6 2 87.13208364316786
19 17 73.57309290766564
6 10 144.2809758769326
4 13 40.0
11 17 78.44743462982075
19 5 68.0294054067798
15 6 11.180339887498949
9 6 101.78899744078434
4 0 63.7808748764079
6 18 48.104053883222775
6 8 127.56566936288148
14 1 32.2490309931942
19 16 110.06361796706484
3 18 94.92101980067429
3 8 128.75169901791588
18 8 105.09519494249011
9 15 96.67471230885562
15 18 52.43090691567332
15 8 138.0507153186828
12 4 48.76474136094644
10 16 53.85164807134504
2 10 79.17701686727027
3 19 83.09632964216891
9 8 216.51789764358972
18 19 37.48332962798263
5 17 10.04987562112089
15 19 69.06518659932803
4 2 112.94689017409908
9 19 157.58172482873766
15 14 56.0
0 8 124.65151423067431
6 1 23.769728648009426
4 10 176.0113632695344
0 19 79.81227975693966
4 15 25.059928172283335
2 7 62.625873247404705
4 18 77.38862965578342
15 1 32.2490309931942
4 8 159.07859692617356
9 1 96.79876032264049
14 3 16.76305461424021
12 6 74.33034373659252
9 13 111.75866856758807
4 19 92.22797840135064
2 5 53.71219600798314
4 14 49.193495504995376
9 0 95.00526301210897
8 10 17.26267650163207
2 16 125.1758762701504
17 8 18.681541692269406
14 11 65.73431371817918
1 0 32.2490309931942
4 1 41.23105625617661
3 2 68.73136110975832
18 2 90.78546139112804
6 3 56.32051136131489
14 7 140.089257261219
13 6 26.248809496813376
3 10 145.7840869230932
15 2 98.2700361249552
