50 1225
0 1 120
0 2 216
0 3 76
0 4 216
0 5 124
0 6 172
0 7 63
0 8 230
0 9 251
0 10 179
0 11 207
0 12 210
0 13 102
0 14 213
0 15 218
0 16 153
0 17 161
0 18 150
0 19 33
0 20 135
0 21 87
0 22 104
0 23 97
0 24 87
0 25 55
0 26 184
0 27 80
0 28 66
0 29 145
0 30 105
0 31 25
0 32 159
0 33 92
0 34 137
0 35 148
0 36 201
0 37 222
0 38 67
0 39 139
0 40 194
0 41 113
0 42 16
0 43 119
0 44 94
0 45 236
0 46 201
0 47 205
0 48 101
0 49 81
1 2 208
1 3 131
1 4 129
1 5 36
1 6 179
1 7 163
1 8 153
1 9 158
1 10 185
1 11 159
1 12 173
1 13 50
1 14 182
1 15 174
1 16 32
1 17 175
1 18 158
1 19 120
1 20 17
1 21 39
1 22 94
1 23 27
1 24 53
1 25 72
1 26 88
1 27 119
1 28 73
1 29 30
1 30 70
1 31 145
1 32 170
1 33 205
1 34 68
1 35 98
1 36 183
1 37 216
1 38 81
1 39 87
1 40 210
1 41 53
1 42 117
1 43 163
1 44 41
1 45 140
1 46 233
1 47 105
1 48 121
1 49 50
2 3 141
2 4 142
2 5 243
2 6 45
2 7 183
2 8 125
2 9 163
2 10 39
2 11 73
2 12 53
2 13 245
2 14 41
2 15 63
2 16 213
2 17 57
2 18 66
2 19 183
2 20 200
2 21 221
2 22 124
2 23 191
2 24 238
2 25 224
2 26 159
2 27 136
2 28 168
2 29 196
2 30 142
2 31 219
2 32 58
2 33 219
2 34 141
2 35 111
2 36 26
2 37 8
2 38 247
2 39 121
2 40 43
2 41 154
2 42 199
2 43 107
2 44 230
2 45 164
2 46 71
2 47 167
2 48 115
2 49 228
3 4 175
3 5 153
3 6 97
3 7 50
3 8 181
3 9 210
3 10 103
3 11 145
3 12 143
3 13 141
3 14 144
3 15 153
3 16 156
3 17 85
3 18 75
3 19 43
3 20 136
3 21 117
3 22 55
3 23 104
3 24 128
3 25 102
3 26 155
3 27 14
3 28 58
3 29 142
3 30 73
3 31 78
3 32 83
3 33 97
3 34 105
3 35 101
3 36 130
3 37 146
3 38 124
3 39 96
3 40 117
3 41 91
3 42 59
3 43 43
3 44 128
3 45 198
3 46 126
3 47 175
3 48 33
3 49 119
4 5 162
4 6 144
4 7 225
4 8 27
4 9 35
4 10 146
4 11 69
4 12 89
4 13 179
4 14 102
4 15 81
4 16 112
4 17 149
4 18 139
4 19 196
4 20 113
4 21 164
4 22 120
4 23 133
4 24 181
4 25 188
4 26 41
4 27 161
4 28 149
4 29 101
4 30 111
4 31 234
4 32 145
4 33 272
4 34 78
4 35 74
4 36 118
4 37 150
4 38 205
4 39 80
4 40 171
4 41 103
4 42 204
4 43 177
4 44 169
4 45 24
4 46 201
4 47 31
4 48 144
4 49 175
5 6 212
5 7 177
5 8 187
5 9 189
5 10 218
5 11 195
5 12 209
5 13 26
5 14 218
5 15 210
5 16 53
5 17 207
5 18 191
5 19 133
5 20 50
5 21 38
5 22 125
5 23 53
