20 190
0 1 165
0 2 187
0 3 442
0 4 209
0 5 224
0 6 313
0 7 268
0 8 357
0 9 182
0 10 400
0 11 494
0 12 467
0 13 71
0 14 74
0 15 435
0 16 175
0 17 177
0 18 407
0 19 479
1 2 79
1 3 266
1 4 132
1 5 499
1 6 100
1 7 326
1 8 287
1 9 262
1 10 213
1 11 274
1 12 111
1 13 50
1 14 410
1 15 272
1 16 478
1 17 257
1 18 88
1 19 86
2 3 331
2 4 288
2 5 424
2 6 221
2 7 180
2 8 432
2 9 370
2 10 217
2 11 383
2 12 497
2 13 339
2 14 466
2 15 348
2 16 456
2 17 249
2 18 72
2 19 54
3 4 448
3 5 423
3 6 276
3 7 316
3 8 294
3 9 359
3 10 74
3 11 75
3 12 383
3 13 306
3 14 360
3 15 279
3 16 451
3 17 77
3 18 463
3 19 237
4 5 304
4 6 402
4 7 113
4 8 458
4 9 122
4 10 76
4 11 358
4 12 200
4 13 102
4 14 360
4 15 372
4 16 190
4 17 362
4 18 385
4 19 87
5 6 403
5 7 215
5 8 227
5 9 305
5 10 348
5 11 112
5 12 495
5 13 71
5 14 187
5 15 425
5 16 104
5 17 345
5 18 83
5 19 138
6 7 307
6 8 370
6 9 284
6 10 98
6 11 340
6 12 483
6 13 397
6 14 389
6 15 227
6 16 309
6 17 139
6 18 428
6 19 296
7 8 58
7 9 173
7 10 429
7 11 142
7 12 495
7 13 456
7 14 139
7 15 369
7 16 492
7 17 108
7 18 473
7 19 88
8 9 280
8 10 331
8 11 347
8 12 486
8 13 419
8 14 320
8 15 271
8 16 345
8 17 118
8 18 353
8 19 366
9 10 453
9 11 406
9 12 240
9 13 173
9 14 113
9 15 453
9 16 310
9 17 130
9 18 460
9 19 59
10 11 318
10 12 210
10 13 457
10 14 158
10 15 124
10 16 480
10 17 244
10 18 333
10 19 372
11 12 237
11 13 293
11 14 162
11 15 204
11 16 280
11 17 424
11 18 308
11 19 452
12 13 423
12 14 101
12 15 176
12 16 397
12 17 498
12 18 52
12 19 170
13 14 264
13 15 323
13 16 216
13 17 331
13 18 469
13 19 247
14 15 281
14 16 466
14 17 78
14 18 228
14 19 331
15 16 437
15 17 270
15 18 426
15 19 178
16 17 107
16 18 456
16 19 229
17 18 124
17 19 408
18 19 238
