400 79800
0 1 1109
0 2 347
0 3 1635
0 4 1953
0 5 1666
0 6 2212
0 7 1394
0 8 1224
0 9 2356
0 10 957
0 11 323
0 12 726
0 13 2261
0 14 1654
0 15 1639
0 16 1588
0 17 1125
0 18 2534
0 19 717
0 20 1680
0 21 506
0 22 2087
0 23 1643
0 24 1684
0 25 384
0 26 333
0 27 776
0 28 1121
0 29 848
0 30 1770
0 31 167
0 32 858
0 33 1436
0 34 1103
0 35 1000
0 36 1025
0 37 771
0 38 1039
0 39 485
0 40 1057
0 41 788
0 42 1778
0 43 2056
0 44 1122
0 45 2065
0 46 2077
0 47 2366
0 48 1872
0 49 727
0 50 1855
0 51 1942
0 52 694
0 53 1351
0 54 943
0 55 1169
0 56 2019
0 57 1689
0 58 1881
0 59 1698
0 60 2045
0 61 1304
0 62 1710
0 63 1332
0 64 1397
0 65 288
0 66 1586
0 67 292
0 68 1642
0 69 1668
0 70 1594
0 71 1572
0 72 1238
0 73 862
0 74 2201
0 75 1777
0 76 1756
0 77 1640
0 78 713
0 79 932
0 80 785
0 81 1635
0 82 1395
0 83 1479
0 84 1232
0 85 993
0 86 2150
0 87 780
0 88 857
0 89 463
0 90 1092
0 91 480
0 92 1063
0 93 2108
0 94 860
0 95 1221
0 96 1467
0 97 1046
0 98 2033
0 99 659
0 100 1718
0 101 1083
0 102 1994
0 103 1872
0 104 667
0 105 1628
0 106 2267
0 107 539
0 108 1359
0 109 900
0 110 1354
0 111 1768
0 112 448
0 113 480
0 114 1571
0 115 1425
0 116 1522
0 117 1212
0 118 1166
0 119 1933
0 120 1531
0 121 1773
0 122 1304
0 123 487
0 124 1697
0 125 1851
0 126 1220
0 127 2289
0 128 1312
0 129 565
0 130 1598
0 131 1648
0 132 1937
0 133 1604
0 134 2045
0 135 1700
0 136 1087
0 137 1333
0 138 1293
0 139 203
0 140 384
0 141 1564
0 142 1633
0 143 1749
0 144 1742
0 145 2174
0 146 596
0 147 2013
0 148 767
0 149 1275
0 150 1312
0 151 2022
0 152 310
0 153 1950
0 154 2045
0 155 1747
0 156 622
0 157 319
0 158 2029
0 159 1209
0 160 696
0 161 1096
0 162 1656
0 163 499
0 164 1956
0 165 1330
0 166 1312
0 167 1830
0 168 1337
0 169 1247
0 170 1159
0 171 1680
0 172 1877
0 173 1899
0 174 2178
0 175 1817
0 176 849
0 177 1765
0 178 366
0 179 1235
0 180 262
0 181 2181
0 182 1320
0 183 1896
0 184 1744
0 185 1468
0 186 518
0 187 1620
0 188 873
