200 13267
60 91 105
44 154 276
73 77 122
21 108 29
21 105 165
44 149 152
73 75 216
103 140 104
44 146 274
130 178 17
44 140 221
44 158 137
90 112 123
68 116 237
87 148 127
44 133 136
103 149 261
44 129 126
90 108 64
44 127 160
60 97 239
44 123 137
103 123 128
151 185 51
68 110 168
90 120 203
44 192 129
44 191 163
44 189 236
60 76 99
34 40 312
103 115 272
84 89 236
80 188 267
21 120 230
73 84 283
44 170 226
103 127 173
103 129 298
60 87 258
73 78 196
103 132 170
21 112 107
150 165 138
72 181 168
60 109 126
130 196 49
44 85 190
68 122 279
150 171 117
150 168 169
150 167 142
44 79 261
34 92 53
87 150 161
68 124 286
34 94 216
10 173 39
113 183 105
113 182 35
103 186 233
21 54 113
83 193 79
44 65 211
44 64 98
44 103 225
68 117 373
21 90 35
21 89 149
34 74 211
103 158 228
103 160 281
44 115 55
90 105 161
44 111 165
21 84 121
103 107 98
34 83 71
44 99 264
21 78 252
21 77 240
83 197 190
21 75 163
44 93 82
63 154 135
21 73 163
9 141 75
129 191 241
80 150 177
45 128 134
9 133 128
153 157 39
9 136 192
153 155 284
129 192 255
73 119 345
45 125 52
129 189 346
45 121 358
33 144 101
9 149 146
90 138 176
102 156 38
45 113 163
9 154 29
33 147 8
21 187 112
21 186 270
153 169 158
45 153 186
59 176 13
22 40 217
68 87 73
68 88 146
33 128 104
45 145 237
45 144 125
22 34 248
9 111 203
73 112 200
22 33 127
153 166 98
45 138 312
153 164 317
129 186 446
73 125 371
9 123 157
22 27 347
80 148 163
63 170 139
45 77 310
21 160 195
80 167 259
80 168 156
45 73 417
21 157 236
33 182 75
33 183 13
60 62 114
60 67 117
45 78 221
87 139 166
21 145 276
73 90 197
73 89 133
33 194 123
84 90 92
21 138 144
68 109 157
60 72 55
21 132 334
33 163 41
45 106 96
33 155 217
73 108 138
80 159 264
63 181 185
73 106 362
152 181 66
9 170 49
90 132 299
73 105 291
34 101 148
152 176 105
87 135 176
80 165 149
45 89 308
152 171 22
9 192 147
152 167 174
21 164 84
152 165 247
43 75 164
131 185 43
148 165 83
72 122 41
60 150 125
68 150 166
43 84 289
11 154 81
43 78 116
43 77 59
60 152 79
148 167 106
148 152 168
43 73 80
148 150 56
87 165 86
147 197 309
11 170 84
34 184 41
20 128 18
34 188 262
147 194 118
60 148 132
43 108 152
20 157 194
43 106 284
43 105 263
113 144 126
20 155 169
11 123 133
20 153 155
20 147 113
11 133 131
20 125 152
20 145 293
20 144 80
148 171 158
43 90 217
72 124 112
11 140 92
11 141 41
148 168 115
43 89 75
35 43 219
12 20 67
60 165 195
12 23 267
147 175 214
89 175 206
42 191 209
20 106 85
113 119 105
42 186 197
12 33 63
72 109 104
104 194 23
60 167 99
87 168 88
35 46 46
12 40 211
68 159 264
35 49 61
60 168 223
12 45 184
147 163 42
11 191 193
104 177 41
87 167 206
113 128 33
34 193 75
20 119 144
43 54 131
34 194 282
104 183 142
11 189 77
147 184 359
148 181 228
11 192 160
147 183 16
147 182 83
43 49 158
34 197 121
113 125 188
