100 709
0 7 69
0 15 113
0 19 127
0 30 98
0 32 92
0 53 61
0 64 108
0 65 94
0 73 61
0 82 73
0 95 103
1 11 143
1 26 48
1 29 67
1 36 103
1 38 170
1 46 117
1 48 124
1 54 63
1 62 78
1 66 77
1 71 132
1 80 26
1 81 87
1 84 36
1 86 158
1 90 108
1 92 55
1 97 47
2 3 98
2 17 105
2 20 144
2 24 168
2 27 31
2 31 130
2 37 136
2 39 195
2 50 73
2 51 143
2 52 57
2 61 83
2 72 109
2 74 58
2 77 118
2 88 96
3 4 74
3 23 8
3 25 93
3 27 80
3 31 47
3 35 105
3 50 74
3 74 50
3 88 5
4 5 42
4 13 59
4 23 67
4 25 82
4 27 124
4 28 53
4 31 103
4 33 27
4 35 33
4 41 61
4 42 106
4 43 66
4 50 91
4 70 148
4 74 93
4 94 66
4 99 104
5 13 25
5 14 45
5 21 82
5 23 105
5 28 79
5 31 129
5 33 35
5 35 11
5 41 31
5 43 69
5 56 84
5 94 36
6 18 228
6 54 78
6 57 34
6 58 102
6 59 148
6 60 56
6 63 169
6 75 121
6 79 18
6 81 50
6 83 185
6 93 66
7 12 158
7 30 53
7 32 25
7 44 100
7 53 49
7 64 51
7 65 54
7 69 152
7 73 29
7 76 83
7 78 36
7 82 22
7 87 93
8 10 49
8 15 58
8 22 117
8 44 137
8 47 92
8 49 108
8 55 21
8 67 81
8 76 69
8 89 78
8 91 122
8 95 64
9 17 86
9 20 31
9 22 84
9 37 24
9 39 53
9 49 120
9 51 30
9 52 111
9 61 122
9 67 127
9 85 9
9 91 75
10 12 149
10 15 79
10 22 114
10 44 113
10 47 45
10 49 68
10 55 69
10 67 48
10 68 85
10 69 133
10 76 77
10 89 31
10 91 114
10 95 102
11 14 102
11 21 80
11 26 97
11 29 90
11 43 155
11 46 27
11 48 148
11 56 71
11 66 131
11 70 197
11 71 136
11 75 222
11 94 119
11 98 194
12 15 162
12 24 75
12 32 141
12 36 99
12 38 41
12 44 62
12 45 34
12 47 109
12 49 168
12 62 116
12 64 122
12 68 154
12 69 15
12 86 94
12 89 119
12 90 119
12 92 226
12 96 46
12 99 128
13 14 50
13 25 63
13 35 35
13 41 8
13 56 79
13 70 99
13 94 53
14 21 45
14 33 67
14 35 51
14 41 58
14 43 78
14 46 99
14 48 102
14 56 43
14 70 134
14 71 83
14 94 26
15 44 102
15 47 102
15 53 53
15 55 66
15 64 59
15 65 38
15 69 149
15 76 19
15 95 37
16 18 59
16 19 22
16 30 35
16 40 19
16 73 69
16 78 57
16 82 66
16 83 62
16 87 27
16 96 140
17 27 116
17 37 80
17 39 101
17 49 59
17 52 47
17 61 38
17 67 83
17 68 54
17 72 36
17 74 148
17 91 95
18 19 46
18 30 94
18 38 195
18 40 41
18 58 138
18 63 79
18 79 217
18 83 62
18 87 69
18 96 181
19 30 51
19 38 181
19 40 11
19 63 91
19 73 78
19 78 76
19 82 79
19 83 73
19 87 48
20 27 170
20 31 264
20 37 16
20 39 85
20 51 1
20 52 106
20 85 34
20 91 106
21 41 78
21 46 90
21 56 10
21 70 120
21 94 71
22 37 105
22 39 34
22 49 92
22 55 119
22 67 78
22 72 125
22 85 84
22 89 137
22 91 12
23 25 92
23 27 80
23 28 94
23 31 53
23 33 93
23 41 110
23 50 70
23 74 48
23 77 124
23 88 13
24 27 144
24 28 113
24 38 110
24 42 86
24 43 126
24 44 121
24 45 107
24 47 109
24 48 117
24 50 117
24 61 125
24 62 141
24 68 116
24 69 72
24 72 121
24 77 58
24 89 123
24 90 101
24 96 121
24 99 71
25 31 77
25 41 55
25 70 78
25 88 95
26 29 22
26 46 73
26 48 127
26 62 120
26 66 59
26 71 128
26 80 35
26 84 83
26 90 127
26 92 82
26 98 123
27 28 113
27 31 120
27 50 42
27 52 72
27 61 85
27 72 110
27 74 33
27 77 91
27 88 80
27 99 139
28 33 43
28 35 68
28 42 58
28 43 39
28 48 77
28 50 72
28 71 72
28 74 92
28 77 70
28 90 107
28 99 52
29 46 71
29 56 150
29 66 46
29 71 146
29 75 142
29 80 47
29 94 168
29 98 112
30 32 39
30 40 52
30 45 142
30 59 144
30 63 102
30 73 37
30 78 25
30 82 31
30 83 89
30 86 142
30 87 44
31 35 127
31 41 120
31 51 264
31 70 148
31 74 94
31 88 44
32 44 88
32 45 122
32 59 145
32 64 54
32 65 68
32 69 137
32 73 38
32 78 15
32 82 24
32 83 114
32 87 72
32 96 112
33 35 24
33 42 85
33 43 41
33 48 87
33 50 102
33 71 73
33 74 112
33 94 44
33 99 87
34 36 64
34 38 70
34 58 60
34 59 4
34 60 107
34 62 92
34 63 76
34 79 125
34 83 92
34 84 126
34 86 17
34 87 112
34 96 74
34 97 116
35 41 41
35 43 60
35 94 36
36 38 69
36 42 136
36 45 85
36 48 131
36 54 128
36 58 108
36 59 65
36 60 97
36 62 29
36 63 141
36 69 115
36 71 148
36 79 133
36 84 87
36 86 61
36 90 90
36 96 88
36 97 81
37 39 76
37 49 125
37 51 15
37 52 94
37 61 112
37 72 116
37 85 31
37 91 94
38 44 79
38 45 15
38 47 147
38 55 233
38 59 67
38 62 93
38 64 132
38 69 55
38 83 136
38 84 156
38 86 53
38 87 134
38 90 120
38 96 22
38 99 149
39 49 107
39 67 101
39 68 128
39 85 51
39 91 29
40 58 147
40 63 80
40 83 62
40 86 148
40 87 40
41 42 147
41 56 84
41 70 92
42 43 46
42 48 34
42 62 120
42 71 45
42 77 78
42 90 49
42 99 19
43 48 46
43 71 35
43 77 99
43 90 84
43 94 52
43 99 55
44 45 63
44 47 88
44 63 156
44 64 59
44 65 82
44 69 53
44 76 83
44 78 97
44 87 131
44 89 91
44 96 63
45 47 133
45 59 77
45 62 108
45 63 129
45 64 117
45 69 44
45 76 146
45 78 124
45 83 137
45 86 63
45 90 131
45 96 13
46 48 125
46 56 80
46 66 116
46 71 115
46 80 109
46 90 148
47 49 68
47 61 117
47 64 110
47 65 114
47 67 67
