100 3300
0 1 89
0 4 87
0 6 43
0 9 46
0 10 12
0 12 108
0 13 33
0 14 43
0 17 62
0 18 75
0 19 65
0 20 30
0 21 65
0 22 46
0 23 69
0 24 141
0 25 20
0 27 46
0 29 76
0 30 146
0 31 23
0 32 71
0 34 7
0 35 31
0 37 38
0 38 72
0 39 73
0 44 54
0 45 78
0 46 70
0 47 133
0 48 39
0 49 58
0 53 40
0 54 62
0 55 145
0 56 99
0 58 61
0 59 72
0 60 78
0 62 67
0 63 23
0 64 154
0 65 41
0 66 49
0 67 59
0 68 2
0 69 27
0 72 113
0 73 73
0 74 129
0 75 60
0 76 103
0 79 67
0 81 54
0 82 30
0 83 70
0 84 69
0 85 27
0 87 56
0 91 45
0 92 177
0 95 31
0 97 53
0 98 125
1 2 113
1 3 119
1 5 54
1 7 41
1 8 126
1 9 135
1 10 80
1 11 68
1 12 34
1 13 81
1 14 67
1 15 118
1 16 45
1 17 86
1 18 18
1 19 57
1 20 119
1 21 56
1 22 43
1 24 52
1 25 102
1 26 69
1 27 56
1 28 83
1 30 64
1 32 22
1 33 58
1 34 87
1 36 91
1 37 116
1 40 106
1 41 90
1 42 129
1 43 56
1 44 67
1 45 31
1 47 46
1 48 81
1 49 50
1 50 70
1 51 51
1 52 46
1 53 57
1 54 29
1 55 66
1 56 44
1 58 79
1 59 71
1 61 98
1 62 45
1 63 87
1 64 71
1 65 115
1 66 138
1 68 92
1 69 64
1 70 40
1 71 85
1 72 26
1 73 161
1 74 55
1 75 77
1 76 23
1 77 125
1 78 72
1 80 114
1 84 37
1 85 78
1 86 89
1 87 95
1 88 107
1 89 54
1 90 54
1 91 100
1 92 95
1 93 125
1 94 87
1 95 120
1 96 101
1 97 39
1 98 37
1 99 104
2 3 37
2 5 93
2 7 85
2 8 35
2 11 52
2 12 107
2 15 26
2 16 68
2 18 130
2 19 160
2 21 159
2 24 63
2 26 63
2 28 63
2 30 67
2 32 134
2 33 79
2 36 36
2 40 8
2 41 31
2 42 32
2 43 155
2 45 129
2 47 72
2 49 158
2 50 76
2 51 63
2 52 104
2 54 142
2 55 74
2 56 118
2 59 170
2 61 17
2 62 150
2 64 59
2 70 118
2 71 28
2 72 90
2 74 89
2 76 102
2 77 12
2 78 41
2 80 21
2 84 139
2 86 27
2 88 23
2 89 107
2 90 75
2 92 55
2 93 30
2 94 28
2 96 40
2 97 152
2 98 80
2 99 43
3 5 82
3 7 82
3 8 72
3 11 50
3 12 102
3 15 63
3 16 74
3 18 132
3 19 156
3 21 155
3 24 79
3 26 88
3 28 44
3 30 92
3 32 136
3 33 69
3 36 67
3 40 32
3 41 30
3 42 67
3 43 150
3 45 142
3 47 88
3 50 61
3 51 68
3 52 95
3 53 170
3 55 99
3 56 136
3 57 164
3 58 177
3 59 163
3 61 46
3 62 147
3 64 85
3 70 112
3 71 51
3 72 102
3 74 111
3 75 176
3 76 115
3 77 41
3 78 59
3 80 58
3 84 151
3 86 55
3 87 196
3 88 16
3 89 95
3 90 68
3 92 88
3 93 12
3 94 54
3 96 18
3 98 82
3 99 79
4 6 89
4 9 72
4 10 90
4 12 171
4 13 118
4 14 98
4 17 89
4 18 147
4 19 117
4 20 78
4 21 118
4 22 125
4 23 42
4 25 68
4 27 109
4 29 37
4 31 73
4 32 143
4 34 94
4 35 73
4 37 98
4 38 61
4 39 25
4 43 123
4 44 103
4 46 29
4 48 124
4 49 118
4 50 212
4 52 178
4 53 108
4 54 136
4 57 110
4 58 96
4 59 110
4 60 53
4 62 126
4 63 107
4 65 50
4 66 45
4 67 31
4 68 86
4 69 112
4 70 161
4 73 81
4 75 97
4 79 37
4 81 36
4 82 68
4 83 37
4 84 154
4 85 87
4 87 77
4 89 178
4 91 67
4 95 63
4 97 126
5 7 18
5 8 119
5 11 41
5 12 23
5 14 96
5 15 110
5 16 41
5 17 102
5 18 59
5 19 74
5 21 73
5 22 88
5 24 60
5 26 83
5 27 87
5 28 38
5 29 158
5 30 81
5 32 62
5 33 13
5 36 89
5 39 167
5 40 84
5 41 62
5 42 119
5 43 68
5 44 89
5 46 162
5 47 62
5 49 76
5 50 21
5 51 39
5 52 13
5 53 91
5 54 72
5 55 88
5 56 92
5 57 82
5 58 95
5 59 81
5 61 84
5 62 67
5 64 83
5 67 160
5 70 30
5 71 73
5 72 57
5 74 87
5 75 94
5 76 66
5 77 104
5 78 64
5 79 155
5 80 104
5 83 155
5 84 91
5 85 112
5 86 80
5 87 114
5 88 77
5 89 14
5 90 19
5 92 104
5 93 92
5 94 77
5 96 64
5 97 78
5 98 29
5 99 106
6 7 103
6 9 82
6 10 31
6 12 82
6 13 68
6 14 10
